Batch,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Compressive Strength
0,148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
1,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
2,250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
3,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
4,222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58
5,355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
6,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
7,298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87
8,387.0,20.0,94.0,157.0,11.6,938.0,845.0,28,46.68
9,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
10,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
11,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
12,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27
13,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
14,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57
15,210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82
16,157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
17,149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
18,249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
19,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
20,480.0,0.0,0.0,192.0,0.0,936.2,712.2,90,54.32
21,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5
22,145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
23,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12
24,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
25,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3
26,162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76
27,153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
28,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91
29,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
30,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
31,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07
32,102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
33,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
34,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
35,249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06
36,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
37,250.2,166.8,0.0,203.5,0.0,977.6,694.1,90,47.71
38,108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33
39,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99
40,298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52
41,144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14
42,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
43,146.0,173.0,0.0,182.0,3.0,986.0,817.0,28,23.74
44,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22
45,387.0,20.0,94.0,157.0,14.3,938.0,845.0,7,36.84
46,331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
47,141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
